PRICE $,BEDS,BATHS,SQFT,LOTSIZE,LOTUNIT,SIZE,HtY,HtY %,STREET,CITY/TOWN,STATE,ZIP,LINK
"2,250,000",4,2.0,2380,3306,sqft lot,3306,1.39,0.72,381 Dolores St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/381-Dolores-St_San-Francisco_CA_94110_M22078-25949
"1,228,000",4,4.0,1589,2495,sqft lot,2495,1.57,0.64,575 Joost Ave,San Francisco,CA,94127,https://www.realtor.com/realestateandhomes-detail/575-Joost-Ave_San-Francisco_CA_94127_M13104-24788
"3,999,000",4,4.5,3067,2465,sqft lot,2465,0.8,1.24,116 Stanyan St,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/116-Stanyan-St_San-Francisco_CA_94118_M24138-17222
"2,320,000",4,3.5,2435,2585,sqft lot,2585,1.06,0.94,5696 Diamond Heights Blvd,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/5696-Diamond-Heights-Blvd_San-Francisco_CA_94131_M27793-65485
"2,950,000",4,3.5,1785,1411,sqft lot,1411,0.79,1.27,3160 Baker St,San Francisco,CA,94123,https://www.realtor.com/realestateandhomes-detail/3160-Baker-St_San-Francisco_CA_94123_M23505-48211
"1,399,000",3,2.0,2219,2500,sqft lot,2500,1.13,0.89,231 Edna St,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/231-Edna-St_San-Francisco_CA_94112_M14728-29765
"1,995,000",3,2.5,2320,2525,sqft lot,2525,1.09,0.92,290 Richland Ave Unit 292,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/290-Richland-Ave_San-Francisco_CA_94110_M18313-79919
"2,795,000",4,3.0,2100,2883,sqft lot,2883,1.37,0.73,683 Spruce St,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/683-Spruce-St_San-Francisco_CA_94118_M10663-89726
"4,750,000",3,2.5,-,3192,sqft lot,3192,-,-,2232 Jackson St,San Francisco,CA,94115,https://www.realtor.com/realestateandhomes-detail/2232-Jackson-St_San-Francisco_CA_94115_M14673-82640
"1,495,000",5,3.0,2202,2495,sqft lot,2495,1.13,0.88,773 London St,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/773-London-St_San-Francisco_CA_94112_M19801-34189
"7,500,000",4,4.5,4660,2461,sqft lot,2461,0.53,1.89,2734 Buchanan St,San Francisco,CA,94123,https://www.realtor.com/realestateandhomes-detail/2734-Buchanan-St_San-Francisco_CA_94123_M20030-34738
"1,395,000",2,1.0,1550,3000,sqft lot,3000,1.94,0.52,1519 47th Ave,San Francisco,CA,94122,https://www.realtor.com/realestateandhomes-detail/1519-47th-Ave_San-Francisco_CA_94122_M15178-43875
"1,749,000",4,3.0,-,2495,sqft lot,2495,-,-,747-749 Rhode Island St,San Francisco,CA,94107,https://www.realtor.com/realestateandhomes-detail/749-Rhode-Island-St_San-Francisco_CA_94107_M14041-74526
"2,195,000",4,3.5,2325,1875,sqft lot,1875,0.81,1.24,546 Utah St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/546-Utah-St_San-Francisco_CA_94110_M15028-17476
"5,495,000",4,3.5,3576,2425,sqft lot,2425,0.68,1.47,2741 Buchanan St,San Francisco,CA,94123,https://www.realtor.com/realestateandhomes-detail/2741-Buchanan-St_San-Francisco_CA_94123_M13429-88924
"1,298,000",4,2.0,1853,2495,sqft lot,2495,1.35,0.74,25 Ordway St,San Francisco,CA,94134,https://www.realtor.com/realestateandhomes-detail/25-Ordway-St_San-Francisco_CA_94134_M25539-29278
"1,700,000",2,2.0,1945,2047,sqft lot,2047,1.05,0.95,4087 17th St,San Francisco,CA,94114,https://www.realtor.com/realestateandhomes-detail/4087-17th-St_San-Francisco_CA_94114_M15012-75052
"1,210,000",3,2.0,1498,0.28,acre lot,12196,8.14,0.12,317 Harriet St Unit 1,San Francisco,CA,94103,https://www.realtor.com/realestateandhomes-detail/317-Harriet-St-1_San-Francisco_CA_94103_M99765-78637
